Department,PM Letter May 2010,PM Letter July 2011,Open Data Strategy Commitments,Openness Scoring (%)
BIS,Delayed,Delayed,On Track,55
CO,Delayed,Delayed,On Track,49
DCLG,Met,Met,On Track,5
DECC,Serious Delay,Serious Delay,On Track,35
DEFRA,Serious Delay,Serious Delay,Met,44
DCMS,Delayed,Delayed,Met,60
DfID,Met,Met,On Track,77
DfE,Met,Met,Met,88
DfT,Met,Met,Delayed,51
DH,Met,Met,Met,40
DWP,Met,Met,On Track,40
FCO,Serious Delay,Unlikely to be met in full,On Track,60
HMRC,Met,Met,On Track,18
HMT,Serious Delay,Met,Met,95
HO,Met,Met,Serious Delay,56
MoD,Delayed,Met,Delayed,47
MoJ,Met,Met,Delayed,66
